Region,crop type,Year, Area cultivated(Ha),Production(kg),Yeild (kg/ha)
Amhara,Sorghum,1996,471890,567886000,1203
Amhara,Millet,1996,173190,159982000,924
Amhara,Oats,1996,7990,7397000,926
Amhara,Teff,1997,903190,75076000,837
Amhara,Barely,1997,244010,233731000,958
Amhara,Wheat,1997,212020,207188000,977
Amhara,Maize,1997,316250,530125000,1670
Amhara,Sorghum,1997,26220,802120000,1281
Amhara,Millet,1997,176490,190105000,1077
Amhara,Oats,1997,9230,7289000,790
Amhara,Teff,1998,744400,518998000,697
Amhara,Barely,1998,220710,211264000,957
Amhara,Wheat,1998,185780,208515000,1122
Amhara,Maize,1998,236830,377289000,1593
Amhara,Sorghum,1998,352600,359035000,1018
Amhara,Millet,1998,159360,142966000,897
Amhara,Oats,1998,8020,6883000,858
Amhara,Teff,1999,884680,738079000,834
Amhara,Barely,1999,262620,202476000,771
Amhara,Wheat,1999,244900,246588000,1007
Amhara,Maize,1999,305410,528471000,1730
Amhara,Sorghum,1999,414080,506189000,1222
Amhara,Millet,1999,273810,218018000,796
Amhara,Oats,1999,,8235000,0
Amhara,Teff,2000,90150,731436000,807
Amhara,Barely,2000,268160,199747000,745
Amhara,Wheat,2000,314190,327110000,1041
Amhara,Maize,2000,309410,524905000,1696
Amhara,Sorghum,2000,356850,36944000,1037
Amhara,Millet,2000,202470,165793000,819
Amhara,Oats,2000,11460,9663000,843
Amhara,Teff,2001,949350,768536000,810
Amhara,Barely,2001,287870,248852000,864
Amhara,Wheat,2001,308300,322503000,1046
Amhara,Maize,2001,377760,648883000,1718
Amhara,Sorghum,2001,520870,570791000,1096
Amhara,Millet,2001,187850,178948000,953
Amhara,Oats,2001,12910,12873000,997
Amhara,Teff,2002,778202.03,697300240,896
Amhara,Barely,2002,274628.32,312728240,1139
Amhara,Wheat,2002,286246.58,353772633,1236
Amhara,Maize,2002,296356.11,637489581,2151
Amhara,Sorghum,2002,409473.2,522628511,1276
Amhara,Millet,2002,155526.83,167871762,1079
Amhara,Oats,2002,8996.12,9433917,1049
Amhara,Teff,2004,826443,730407700,884
Amhara,Barely,2004,357174,367108600,1028
Amhara,Wheat,2004,332645,414570000,1246
Amhara,Maize,2004,258195,464411500,1799
Amhara,Sorghum,2004,457450,603949400,1320
Amhara,Millet,2004,156868,155581100,992
Amhara,Oats,2004,8776,8386200,956
Amhara,Teff,2005,852307,813651400,955
Amhara,Barely,2005,375912,398965200,1061
Amhara,Wheat,2005,392722,569397100,1450
Amhara,Maize,2005,285242,497181600,1743
Amhara,Sorghum,2005,411949,566553200,1375
Amhara,Millet,2005,148002,149444000,1010
Amhara,Oats,2005,8496,10313600,1214
Amhara,Teff,2006,907057.42,865824040,955
Amhara,Barely,2006,318420.29,396468184,1245
Amhara,Wheat,2006,431486.33,607488794,1408
Amhara,Maize,2006,341083.52,725680151,2128
Amhara,Sorghum,2006,537623.62,851540211,1584
Amhara,Millet,2006,164648.78,184679530,1122
Amhara,Oats,2006,8300.75,7401725,892
Amhara,Teff,2007,939487.63,972006442,1035
Amhara,Barely,2007,351264.12,470231149,1339
Amhara,Wheat,2007,427719.81,681612665,1594
Amhara,Maize,2007,376937.07,868770131,2305
Amhara,Sorghum,2007,481218.82,789147685,1640
Amhara,Millet,2007,176884.86,217939155,1232
Amhara,Oats,2007,7657.62,7583392,990
Amhara,Teff,2008,1047084.74,1268568413,1212
Amhara,Barely,2008,330278.78,429937725,1302
Amhara,Wheat,2008,426814.6,621176897,1455
Amhara,Maize,2008,397481.38,921231338,2318
Amhara,Sorghum,2008,499133.91,790774634,1584
Amhara,Millet,2008,196114.7,265635882,1354
Amhara,Oats,2008,8116.94,8307228,1023
Amhara,Teff,2009,1003948,1238347400,1233
Amhara,Barely,2009,347719.9,486149800,1398
Amhara,Wheat,2009,434386.4,654502110,1507
Amhara,Maize,2009,396715.7,925964400,2334
Amhara,Sorghum,2009,547152.6,913119820,1669
Amhara,Millet,2009,195002.7,261777330,1342
Amhara,Oats,2009,7382.67,8220211,1113
Amhara,Teff,2010,1001028.47,1286056342,1285
Amhara,Barely,2010,387862.4,506768372,1307
Amhara,Wheat,2010,548315.25,896092731,1634
Amhara,Maize,2010,355508.17,801069399,2253
Amhara,Sorghum,2010,486467.74,792246070,1629
Amhara,Millet,2010,164321.16,249509251,1518
Amhara,Oats,2010,8742.51,12363949,1414
Amhara,Teff,2011,1014267.85,1279107703,1261
Amhara,Barely,2011,328268.73,430741554,1312
Amhara,Wheat,2011,498748.68,824860321,1654
Amhara,Maize,2011,472260.11,1214805420,2572
Amhara,Sorghum,2011,710731.78,1533586075,2158
Amhara,Millet,2011,216959.97,336000975,1549
Amhara,Oats,2011,5769.06,7340443,1272
Amhara,Teff,2012,1003380.97,1310280795,1306
Amhara,Barely,2012,303760.05,431557873,1421
Amhara,Wheat,2012,460164.57,769486730,1672
Amhara,Maize,2012,494625.08,1338702721,2706
Amhara,Sorghum,2012,733017.68,1432067373,1954
Amhara,Millet,2012,230613.94,353529558,1533
Amhara,Oats,2012,2534.32,3242602,1279
Amhara,Teff,2013,1090139.5,1528197733,1402
Amhara,Barely,2013,388113.19,590502822,1521
Amhara,Wheat,2013,498192.03,888568580,1784
Amhara,Maize,2013,434641.83,1262972851,2906
Amhara,Sorghum,2013,578276.4,1122766952,1942
Amhara,Millet,2013,226547.4,407643895,1799
Amhara,Oats,2013,3476.78,4294195,1235
Amhara,Teff,2014,1146730.12,1713797322,1495
Amhara,Barely,2014,373016.41,588766645,1578
Amhara,Wheat,2014,52948.64,1119991322,2115
Amhara,Maize,2014,474254.25,1598474987,3371
Amhara,Sorghum,2014,558827.95,1135011408,2031
Amhara,Millet,2014,236680.54,461839493,1951
Amhara,Oats,2014,4662.35,6096457,1308
Amhara,Teff,2015,1143115.98,1809367086,1583
Amhara,Barely,2015,362738.63,625622575,1725
Amhara,Wheat,2015,529609.63,1195823247,2225
Amhara,Maize,2015,513367.36,1837500847,3579
Amhara,Sorghum,2015,655671.97,1396664583,2130
Amhara,Millet,2015,242894.75,490200198,2018
Amhara,Oats,2015,4497.67,6070167,1350
Amhara,Teff,2016,1093135.22,1757022412,1607
Amhara,Barely,2016,323130.12,575904799,182
Amhara,Wheat,2016,545106.1,1221904309,2242
Amhara,Maize,2016,517210.23,1814326840,3508
Amhara,Sorghum,2016,644263.75,1366961233,2122
Amhara,Millet,2016,256064.53,54275220,2145
Amhara,Oats,2016,2872.6,3780234,1316
Amhara,Teff,2017,1137844.18,1932857365,1699
Amhara,Barely,2017,323655.73,608069113,1879
Amhara,Wheat,2017,554284.49,1319069113,2380
Amhara,Maize,2017,519495.71,1962937196,3780
Amhara,Sorghum,2017,670114.31,1640299423,2448
Amhara,Millet,2017,246666.06,557331121,2259
Amhara,Oats,2017,3002.02,4480834,1493
Amhara,Teff,2018,1138030.51,2039448271,1792
Amhara,Barely,2018,323936.38,639452375,1974
Amhara,Wheat,2018,554661.74,1404707481,2533
Amhara,Maize,2018,520116.84,2071865758,3983
Amhara,Sorghum,2018,672491.78,1781203242,2649
Amhara,Millet,2018,246522.71,560466508,2273
Amhara,Oats,2018,4094.8,6189357,1512
Amhara,Teff,2019,1200986.74,2161486185,1800
Amhara,Barely,2019,238164.36,481769434,2023
Amhara,Wheat,2019,570742.91,1482043379,2597
Amhara,Maize,2019,559981.55,2284448311,4080
Amhara,Sorghum,2019,643170,1704082052,2650
Amhara,Millet,2019,248292.4,571094996,2300
Amhara,Oats,2019,3055.08,4518212,1479
Amhara,Teff,2020,1201283.74,2258240600,1880
Amhara,Barely,2020,242470.69,492206224,2030
Amhara,Wheat,2020,575015.31,1558379990,2710
Amhara,Maize,2020,534007.8,2195880725,4112
Amhara,Sorghum,2020,688114.09,1883182338,2737
Amhara,Millet,2020,234632.36,570819330,2433
Amhara,Oats,2020,2469.16,3793179,1536
Amhara,Teff,2021,1086374.6,2096462906,1930
Amhara,Barely,2021,311401.39,728902314,2341
Amhara,Wheat,2021,641170.34,1815255660,2831
Amhara,Maize,2021,595085.89,2542469511,4272
Amhara,Sorghum,2021,597440.83,1588192136,2658
Amhara,Millet,2021,259903.48,660446344,2541
Amhara,Oats,2021,4561.04,6837950,1499
Amhara,Teff,2022,1177078.03,2254030137,1915
Amhara,Barely,2022,286865.38,646475641,2254
Amhara,Wheat,2022,689614.06,1922028970,2787
Amhara,Maize,2022,616502.44,2642188834,4286
Amhara,Sorghum,2022,576148.05,1529198053,2654
Amhara,Millet,2022,243448.48,632893061,2600
Amhara,Oats,2022,2933.05,4151348,1415
Oromiya,Teff,1996,941160,837751000,890
Oromiya,Barely,1996,384670,477066000,1240
Oromiya,Wheat,1996,469990,638548000,1359
Oromiya,Maize,1996,699620,1466028000,2095
Oromiya,Sorghum,1996,452110,731963000,1619
Oromiya,Millet,1996,49680,42524000,856
Oromiya,Oats,1996,36800,57662000,1567
Oromiya,Teff,1997,952670,952875000,1000
Oromiya,Barely,1997,343640,389282000,1133
Oromiya,Wheat,1997,431750,604331000,1400
Oromiya,Maize,1997,751840,154161000,2051
Oromiya,Sorghum,1997,426420,734956000,1724
Oromiya,Millet,1997,46700,41706000,893
Oromiya,Oats,1997,33900,40451000,1193
Oromiya,Teff,1998,729530,607224000,832
Oromiya,Barely,1998,352590,479665000,1360
Oromiya,Wheat,1998,486470,76080000,1564
Oromiya,Maize,1998,577570,1031438000,1786
Oromiya,Sorghum,1998,326700,412395000,1262
Oromiya,Millet,1998,45280,38333000,847
Oromiya,Oats,1998,31600,33998000,1076
Oromiya,Teff,1999,867800,674691000,777
Oromiya,Barely,1999,383450,385697000,1006
Oromiya,Wheat,1999,599140,711278000,1187
Oromiya,Maize,1999,702820,1377752000,1960
Oromiya,Sorghum,1999,351260,493269000,1404
Oromiya,Millet,1999,,57529000,0
Oromiya,Oats,1999,,30670000,0
Oromiya,Teff,2000,891830,742328000,832
Oromiya,Barely,2000,385760,398704000,1034
Oromiya,Wheat,2000,565920,733140000,1295
Oromiya,Maize,2000,747550,1443799000,1931
Oromiya,Sorghum,2000,368030,513295000,1395
Oromiya,Millet,2000,71800,64618000,900
Oromiya,Oats,2000,29650,32974000,1112
Oromiya,Teff,2001,887250,728059000,821
Oromiya,Barely,2001,397640,513246000,1291
Oromiya,Wheat,2001,642700,990501000,1541
Oromiya,Maize,2001,871250,1724724000,1980
Oromiya,Sorghum,2001,410420,536990000,1308
Oromiya,Millet,2001,63530,48582000,765
Oromiya,Oats,2001,27410,36350000,1326
Oromiya,Teff,2002,762119.72,71325116,936
Oromiya,Barely,2002,367426.19,477339538,1299
Oromiya,Wheat,2002,545923.45,859521736,1574
Oromiya,Maize,2002,729461.83,1660387424,2276
Oromiya,Sorghum,2002,437397.55,635585291,1453
Oromiya,Millet,2002,49335.52,54650128,1108
Oromiya,Oats,2002,19366.68,24358790,1258
Oromiya,Teff,2004,820135,704455500,859
Oromiya,Barely,2004,412329,549074700,1332
Oromiya,Wheat,2004,556354,912864500,1641
Oromiya,Maize,2004,786365,1551558100,1973
Oromiya,Sorghum,2004,500943,756626600,1510
Oromiya,Millet,2004,71966,67366900,936
Oromiya,Oats,2004,19998,29206100,1460
Oromiya,Teff,2005,918461,945087300,1029
Oromiya,Barely,2005,532141,747348200,1404
Oromiya,Wheat,2005,765528,1302828800,1702
Oromiya,Maize,2005,791686,1452647800,1835
Oromiya,Sorghum,2005,522499,794826600,1521
Oromiya,Millet,2005,84329,109302700,1296
Oromiya,Oats,2005,34807,45354900,1303
Oromiya,Teff,2006,985665.52,1022451976,1037
Oromiya,Barely,2006,514377.35,692957511,1347
Oromiya,Wheat,2006,816572.28,1317706079,1614
Oromiya,Maize,2006,858096.17,2031748429,2368
Oromiya,Sorghum,2006,542045.77,817642891,1508
Oromiya,Millet,2006,83577.5,114146524,1366
Oromiya,Oats,2006,34794.57,31798337,914
Oromiya,Teff,2007,1082756.17,1133591204,1047
Oromiya,Barely,2007,477231.31,659745867,1382
Oromiya,Wheat,2007,809195.61,1427286259,1764
Oromiya,Maize,2007,948732.18,2215804820,2336
Oromiya,Sorghum,2007,56344.65,945448494,1679
Oromiya,Millet,2007,92253.98,125298710,1358
Oromiya,Oats,2007,23921.43,27683287,1157
Oromiya,Teff,2008,11843.87,13571832,1146
Oromiya,Barely,2008,688.22,765155,1112
Oromiya,Wheat,2008,215.25,0,0
Oromiya,Maize,2008,5845.44,9917832,1697
Oromiya,Sorghum,2008,28288.56,47676122,1685
Oromiya,Millet,2008,,0,0
Oromiya,Oats,2008,,0,0
Oromiya,Teff,2009,1081501,1329265200,1229
Oromiya,Barely,2009,451955.5,724293850,1603
Oromiya,Wheat,2009,794835.8,1515266300,1906
Oromiya,Maize,2009,933712.5,2178331700,2333
