region,crop_type,year,area_cultivated_ha,production_kg,yield_kg_ha,NDVI_mean,NDVI_peak,temperature_mean,rainfall
Oromiya,Wheat,2020,897236.5,2800964857.0,3122.0,0.35146001915487074,0.6351890140720673,19.8224043715847,595.4
Oromiya,Maize,2020,1390841.48,5981665264.0,4301.0,0.3535081671302108,0.6351890140720673,19.942934782608695,672.5
Oromiya,Sorghum,2020,629724.86,1901752085.0,3020.0,0.3417294782660934,0.6351890140720673,20.003738317757005,678.6
Oromiya,Millet,2020,68782.2,171626108.0,2495.0,0.35146001915487074,0.6351890140720673,19.8224043715847,595.4
Oromiya,Oats,2020,8310.97,18329366.0,2205.0,0.35146001915487074,0.6351890140720673,19.8224043715847,595.4
Oromiya,Teff,2021,1393455.62,2690467012.0,1931.0,0.3063841447870365,0.6002333824441829,19.712568306010926,509.4
Oromiya,Barely,2021,440702.06,1231994795.0,2796.0,0.3063841447870365,0.6002333824441829,19.712568306010926,509.4
Oromiya,Wheat,2021,996364.4,3287749709.0,3300.0,0.3063841447870365,0.6002333824441829,19.712568306010926,509.4
Oromiya,Maize,2021,1371868.06,5888706426.0,4292.0,0.30470941494968096,0.6002333824441829,19.91576086956522,581.8
Oromiya,Sorghum,2021,676075.0,1836612661.0,2717.0,0.2973356237782687,0.6002333824441829,19.904672897196264,583.1
Oromiya,Millet,2021,97266.93,251563241.0,2586.0,0.3063841447870365,0.6002333824441829,19.712568306010926,509.4
